Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001
0	1	United_States	39	41	33	113	20953000000000.0	21433200000000.0	20611900000000.0	19543000000000.0	18745100000000.0	18238300000000.0	17527200000000.0	16784800000000.0	16197000000000.0	15542600000000.0	14992100000000.0	14448900000000.0	14712800000000.0	14451900000000.0	13814600000000.0	13036600000000.0	12213700000000.0	11458200000000.0	10936400000000.0	10581800000000.0
1	2	China	38	32	18	88	14722700000000.0	14279900000000.0	13894800000000.0	12310400000000.0	11233300000000.0	11061600000000.0	10475700000000.0	9570410000000.0	8532230000000.0	7551500000000.0	6087160000000.0	5101700000000.0	4594310000000.0	3550340000000.0	2752130000000.0	2285970000000.0	1955350000000.0	1660290000000.0	1470550000000.0	1339400000000.0
2	3	Japan	27	14	17	58	5057760000000.0	5148780000000.0	5036890000000.0	4930840000000.0	5003680000000.0	4444930000000.0	4896990000000.0	5212330000000.0	6272360000000.0	6233150000000.0	5759070000000.0	5289490000000.0	5106680000000.0	4579750000000.0	4601660000000.0	4831470000000.0	4893120000000.0	4519560000000.0	4182850000000.0	4374710000000.0
3	4	United_Kingdom	22	21	22	65	2759800000000.0	2878670000000.0	2900790000000.0	2699020000000.0	2722850000000.0	2956570000000.0	3087170000000.0	2803290000000.0	2719160000000.0	2674890000000.0	2491110000000.0	2425800000000.0	2938880000000.0	3106180000000.0	2717060000000.0	2544830000000.0	2421810000000.0	2057090000000.0	1784080000000.0	1643910000000.0
4	5	Russia	20	28	23	71	1483500000000.0	1687450000000.0	1657330000000.0	1574200000000.0	1276790000000.0	1363480000000.0	2059240000000.0	2292470000000.0	2208300000000.0	2045930000000.0	1524920000000.0	1222640000000.0	1660850000000.0	1299710000000.0	989931000000.0	764017000000.0	591017000000.0	430348000000.0	345470000000.0	306602000000.0
5	6	Australia	17	7	22	46	1327840000000.0	1391950000000.0	1428530000000.0	1326880000000.0	1206690000000.0	1350530000000.0	1467500000000.0	1576340000000.0	1546510000000.0	1397910000000.0	1147590000000.0	928043000000.0	1055130000000.0	853955000000.0	747556000000.0	695075000000.0	614166000000.0	467391000000.0	395343000000.0	379084000000.0
6	7	Netherlands	10	12	14	36	913865000000.0	910194000000.0	914043000000.0	833870000000.0	784060000000.0	765573000000.0	892168000000.0	877173000000.0	838923000000.0	905271000000.0	847381000000.0	871519000000.0	951870000000.0	848559000000.0	733955000000.0	685348000000.0	658380000000.0	580070000000.0	473862000000.0	431587000000.0
7	8	France	10	12	11	33	2630320000000.0	2728870000000.0	2790960000000.0	2595150000000.0	2472960000000.0	2439190000000.0	2855960000000.0	2811880000000.0	2683670000000.0	2865160000000.0	2645190000000.0	2700890000000.0	2930300000000.0	2660590000000.0	2320540000000.0	2196950000000.0	2119630000000.0	1844540000000.0	1501410000000.0	1377660000000.0
8	9	Germany	10	11	16	37	3846410000000.0	3888330000000.0	3977290000000.0	3690850000000.0	3469850000000.0	3357590000000.0	3889090000000.0	3733800000000.0	3527140000000.0	3749310000000.0	3399670000000.0	3411260000000.0	3745260000000.0	3425580000000.0	2994700000000.0	2846860000000.0	2814350000000.0	2501640000000.0	2078480000000.0	1945790000000.0
9	10	Italy	10	10	20	40	1888710000000.0	2009380000000.0	2091930000000.0	1961800000000.0	1877070000000.0	1836640000000.0	2162010000000.0	2141920000000.0	2086960000000.0	2294990000000.0	2136100000000.0	2199930000000.0	2408660000000.0	2213100000000.0	1949550000000.0	1858220000000.0	1806540000000.0	1577620000000.0	1276770000000.0	1168020000000.0
10	11	Canada	7	6	11	24	1645420000000.0	1742020000000.0	1725330000000.0	1649270000000.0	1527990000000.0	1556510000000.0	1805750000000.0	1846600000000.0	1828370000000.0	1793330000000.0	1617340000000.0	1374630000000.0	1552990000000.0	1468820000000.0	1319260000000.0	1173110000000.0	1026690000000.0	895541000000.0	760649000000.0	738982000000.0
11	12	Brazil	7	6	8	21	1444730000000.0	1877820000000.0	1916930000000.0	2063510000000.0	1795690000000.0	1802210000000.0	2456040000000.0	2472820000000.0	2465230000000.0	2616160000000.0	2208840000000.0	1667000000000.0	1695860000000.0	1397110000000.0	1107630000000.0	891634000000.0	669289000000.0	558234000000.0	509795000000.0	559984000000.0
12	13	New_Zealand	7	6	7	20	210701000000.0	212891000000.0	212226000000.0	206951000000.0	188943000000.0	178064000000.0	201313000000.0	190907000000.0	176207000000.0	168291000000.0	146518000000.0	121374000000.0	133131000000.0	137189000000.0	111539000000.0	114720000000.0	103905000000.0	88250885550.0	66627729311.0	53872425917.0
13	14	Cuba	7	3	5	15	107352000000.0	103428000000.0	100050000000.0	96851000000.0	91370000000.0	87133000000.0	80656000000.0	77148000000.0	73141000000.0	68990000000.0	64328000000.0	62080000000.0	60806300000.0	58603900000.0	52742800000.0	42643836100.0	38203000000.0	35901200000.0	33590500000.0	31682400000.0
14	15	Hungary	6	7	7	20	155808000000.0	163526000000.0	160587000000.0	143136000000.0	128636000000.0	125210000000.0	141079000000.0	135733000000.0	128857000000.0	142000000000.0	132231000000.0	131114000000.0	158374000000.0	140228000000.0	115751000000.0	113237000000.0	104141000000.0	85302003908.0	67608919144.0	53749989092.0
15	16	Korea	6	4	10	20	1637900000000.0	1651420000000.0	1724850000000.0	1623900000000.0	1500110000000.0	1465770000000.0	1484320000000.0	1370800000000.0	1278430000000.0	1253220000000.0	1144070000000.0	943942000000.0	1047340000000.0	1172610000000.0	1053220000000.0	934901000000.0	793175000000.0	702717000000.0	627246000000.0	547658000000.0
16	17	Poland	4	5	5	14	596624000000.0	597281000000.0	587412000000.0	526509000000.0	472630000000.0	477812000000.0	542477000000.0	521016000000.0	498524000000.0	528301000000.0	479834000000.0	439738000000.0	533609000000.0	429029000000.0	344622000000.0	306144000000.0	255110000000.0	217827000000.0	199072000000.0	190905000000.0
17	18	Czech_Republic	4	4	3	11	245339000000.0	252498000000.0	248950000000.0	218629000000.0	196272000000.0	188033000000.0	209359000000.0	211686000000.0	208858000000.0	229563000000.0	209070000000.0	207434000000.0	236816000000.0	190184000000.0	156264000000.0	137143000000.0	119814000000.0	100090000000.0	82196001051.0	67808032980.0
18	19	Kenya	4	4	2	10	101014000000.0	100555000000.0	92202956321.0	82035800868.0	74815121315.0	70120413329.0	68285768554.0	61671425370.0	56396706006.0	46869457318.0	45405587557.0	42347217913.0	35895153328.0	31958195182.0	25825524821.0	18737897745.0	16095337094.0	14904517650.0	13147743911.0	12986007426.0
19	20	Norway	4	2	2	8	362198000000.0	404941000000.0	437000000000.0	398394000000.0	368827000000.0	385802000000.0	498410000000.0	522762000000.0	509506000000.0	498283000000.0	428757000000.0	386190000000.0	462250000000.0	400937000000.0	345581000000.0	308884000000.0	264512000000.0	228859000000.0	195524000000.0	173972000000.0
20	21	Jamaica	4	1	4	9	13812425037.0	15830768550.0	15730793853.0	14808989993.0	14077109397.0	14188935948.0	13899228824.0	14264202737.0	14807086889.0	14444655300.0	13220556883.0	12120460873.0	13709402085.0	12799593018.0	11930171468.0	11243868486.0	10174664854.0	9430230564.0	9719017926.0	9194717836.0
