Index	Rank	Country	Gold	Silver	Bronze	Total_Medals	Nominal_GDP_2020	Nominal_GDP_2019	Nominal_GDP_2018	Nominal_GDP_2017	Nominal_GDP_2016	Nominal_GDP_2015	Nominal_GDP_2014	Nominal_GDP_2013	Nominal_GDP_2012	Nominal_GDP_2011	Nominal_GDP_2010	Nominal_GDP_2009	Nominal_GDP_2008	Nominal_GDP_2007	Nominal_GDP_2006	Nominal_GDP_2005	Nominal_GDP_2004	Nominal_GDP_2003	Nominal_GDP_2002	Nominal_GDP_2001	Population_2020	Population_2019	Population_2018	Population_2017	Population_2016	Population_2015	Population_2014	Population_2013	Population_2012	Population_2011	Population_2010	Population_2009	Population_2008	Population_2007	Population_2006	Population_2005	Population_2004	Population_2003	Population_2002	Population_2001
0	1	United_States	39	41	33	113	20953000000000.0	21433200000000.0	20611900000000.0	19543000000000.0	18745100000000.0	18238300000000.0	17527200000000.0	16784800000000.0	16197000000000.0	15542600000000.0	14992100000000.0	14448900000000.0	14712800000000.0	14451900000000.0	13814600000000.0	13036600000000.0	12213700000000.0	11458200000000.0	10936400000000.0	10581800000000.0	331501080.0	328329953.0	326838199.0	325122128.0	323071755.0	320738994.0	318386329.0	316059947.0	313877662.0	311583481.0	309327143.0	306771529.0	304093966.0	301231207.0	298379912.0	295516599.0	292805298.0	290107933.0	287625193.0	284968955.0
1	2	China	38	32	18	88	14722700000000.0	14279900000000.0	13894800000000.0	12310400000000.0	11233300000000.0	11061600000000.0	10475700000000.0	9570410000000.0	8532230000000.0	7551500000000.0	6087160000000.0	5101700000000.0	4594310000000.0	3550340000000.0	2752130000000.0	2285970000000.0	1955350000000.0	1660290000000.0	1470550000000.0	1339400000000.0	1410929362.0	1407745000.0	1402760000.0	1396215000.0	1387790000.0	1379860000.0	1371860000.0	1363240000.0	1354190000.0	1345035000.0	1337705000.0	1331260000.0	1324655000.0	1317885000.0	1311020000.0	1303720000.0	1296075000.0	1288400000.0	1280400000.0	1271850000.0
2	3	Japan	27	14	17	58	5057760000000.0	5148780000000.0	5036890000000.0	4930840000000.0	5003680000000.0	4444930000000.0	4896990000000.0	5212330000000.0	6272360000000.0	6233150000000.0	5759070000000.0	5289490000000.0	5106680000000.0	4579750000000.0	4601660000000.0	4831470000000.0	4893120000000.0	4519560000000.0	4182850000000.0	4374710000000.0	125836021.0	126264931.0	126529100.0	126785797.0	126994511.0	127141000.0	127276000.0	127445000.0	127629000.0	127833000.0	128070000.0	128047000.0	128063000.0	128001000.0	127854000.0	127773000.0	127761000.0	127718000.0	127445000.0	127149000.0
3	4	United_Kingdom	22	21	22	65	2759800000000.0	2878670000000.0	2900790000000.0	2699020000000.0	2722850000000.0	2956570000000.0	3087170000000.0	2803290000000.0	2719160000000.0	2674890000000.0	2491110000000.0	2425800000000.0	2938880000000.0	3106180000000.0	2717060000000.0	2544830000000.0	2421810000000.0	2057090000000.0	1784080000000.0	1643910000000.0	67215293.0	66836327.0	66460344.0	66058859.0	65611593.0	65116219.0	64602298.0	64128273.0	63700215.0	63258810.0	62766365.0	62276270.0	61806995.0	61322463.0	60846820.0	60401206.0	59987905.0	59647577.0	59370479.0	59119673.0
4	5	Russia	20	28	23	71	1483500000000.0	1687450000000.0	1657330000000.0	1574200000000.0	1276790000000.0	1363480000000.0	2059240000000.0	2292470000000.0	2208300000000.0	2045930000000.0	1524920000000.0	1222640000000.0	1660850000000.0	1299710000000.0	989931000000.0	764017000000.0	591017000000.0	430348000000.0	345470000000.0	306602000000.0	144104080.0	144406261.0	144477859.0	144496739.0	144342397.0	144096870.0	143819667.0	143506995.0	143201721.0	142960908.0	142849468.0	142785349.0	142742366.0	142805114.0	143049637.0	143518814.0	144067316.0	144648618.0	145306497.0	145976482.0
5	6	Australia	17	7	22	46	1327840000000.0	1391950000000.0	1428530000000.0	1326880000000.0	1206690000000.0	1350530000000.0	1467500000000.0	1576340000000.0	1546510000000.0	1397910000000.0	1147590000000.0	928043000000.0	1055130000000.0	853955000000.0	747556000000.0	695075000000.0	614166000000.0	467391000000.0	395343000000.0	379084000000.0	25693267.0	25365745.0	24982688.0	24601860.0	24190907.0	23815995.0	23475686.0	23128129.0	22733465.0	22340024.0	22031750.0	21691700.0	21249200.0	20827600.0	20697900.0	20394800.0	20127400.0	19895400.0	19651400.0	19413000.0
6	7	Netherlands	10	12	14	36	913865000000.0	910194000000.0	914043000000.0	833870000000.0	784060000000.0	765573000000.0	892168000000.0	877173000000.0	838923000000.0	905271000000.0	847381000000.0	871519000000.0	951870000000.0	848559000000.0	733955000000.0	685348000000.0	658380000000.0	580070000000.0	473862000000.0	431587000000.0	17441500.0	17344874.0	17231624.0	17131296.0	17030314.0	16939923.0	16865008.0	16804432.0	16754962.0	16693074.0	16615394.0	16530388.0	16445593.0	16381696.0	16346101.0	16319868.0	16281779.0	16225302.0	16148929.0	16046180.0
7	8	France	10	12	11	33	2630320000000.0	2728870000000.0	2790960000000.0	2595150000000.0	2472960000000.0	2439190000000.0	2855960000000.0	2811880000000.0	2683670000000.0	2865160000000.0	2645190000000.0	2700890000000.0	2930300000000.0	2660590000000.0	2320540000000.0	2196950000000.0	2119630000000.0	1844540000000.0	1501410000000.0	1377660000000.0	67379908.0	67248926.0	67101930.0	66918020.0	66724104.0	66548272.0	66312067.0	65998685.0	65659814.0	65342789.0	65027505.0	64707035.0	64374979.0	64016227.0	63621376.0	63179356.0	62704901.0	62244880.0	61805266.0	61357432.0
8	9	Germany	10	11	16	37	3846410000000.0	3888330000000.0	3977290000000.0	3690850000000.0	3469850000000.0	3357590000000.0	3889090000000.0	3733800000000.0	3527140000000.0	3749310000000.0	3399670000000.0	3411260000000.0	3745260000000.0	3425580000000.0	2994700000000.0	2846860000000.0	2814350000000.0	2501640000000.0	2078480000000.0	1945790000000.0	83160871.0	83092962.0	82905782.0	82657002.0	82348669.0	81686611.0	80982500.0	80645605.0	80425823.0	80274983.0	81776930.0	81902307.0	82110097.0	82266372.0	82376451.0	82469422.0	82516260.0	82534176.0	82488495.0	82349925.0
9	10	Italy	10	10	20	40	1888710000000.0	2009380000000.0	2091930000000.0	1961800000000.0	1877070000000.0	1836640000000.0	2162010000000.0	2141920000000.0	2086960000000.0	2294990000000.0	2136100000000.0	2199930000000.0	2408660000000.0	2213100000000.0	1949550000000.0	1858220000000.0	1806540000000.0	1577620000000.0	1276770000000.0	1168020000000.0	59449527.0	59729081.0	60421760.0	60536709.0	60627498.0	60730582.0	60789140.0	60233948.0	59539717.0	59379449.0	59277417.0	59095365.0	58826731.0	58438310.0	58143979.0	57969484.0	57685327.0	57313203.0	57059007.0	56974100.0
