Rank	Country	Gold	Silver	Bronze	Total
1	United States of America	37	41	26	104
2	People's Republic of China	33	17	14	64
3	Russian Federation	29	26	37	92
4	Australia	18	16	17	51
5	Japan	17	9	13	39
6	Germany	13	17	20	50
7	France	11	9	13	33
8	Italy	10	11	11	32
9	Republic of Korea	9	13	9	31
10	Great Britain	9	9	12	30
11	Cuba	9	7	11	27
12	Ukraine	9	5	9	23
13	Hungary	8	6	3	17
14	Romania	8	5	6	19
15	Greece	6	6	4	16
16	Brazil	5	2	3	10
17	Norway	5	0	1	6
18	Netherlands	4	9	9	22
19	Sweden	4	2	1	7
20	Spain	3	11	6	20
21	Canada	3	6	4	13
22	Turkey	3	3	4	10
23	Poland	3	2	5	10
24	New Zealand	3	2	0	5
25	Thailand	3	1	4	8
26	Belarus	2	5	6	13
27	Austria	2	4	1	7
28	Ethiopia	2	3	2	7
29	Slovakia	2	2	2	6
29	Islamic Republic of Iran	2	2	2	6
31	Chinese Taipei	2	2	1	5
32	Georgia	2	2	0	4
33	Bulgaria	2	1	9	12
34	Denmark	2	1	5	8
35	Uzbekistan	2	1	3	6
36	Jamaica	2	1	2	5
37	Morocco	2	1	0	3
38	Argentina	2	0	4	6
39	Chile	2	0	2	4
40	Kazakhstan	1	4	3	8
40	Kenya	1	4	3	8
42	Czech Republic	1	3	5	9
43	South Africa	1	3	2	6
44	Croatia	1	2	2	5
45	Lithuania	1	2	0	3
46	Egypt	1	1	3	5
46	Switzerland	1	1	3	5
48	Indonesia	1	1	2	4
49	Zimbabwe	1	1	1	3
50	Azerbaijan	1	0	4	5
51	Belgium	1	0	2	3
52	Bahamas	1	0	1	2
52	Israel	1	0	1	2
54	Dominican Republic	1	0	0	1
54	Cameroon	1	0	0	1
54	United Arab Emirates	1	0	0	1
57	Democratic People's Republic of Korea	0	4	1	5
58	Latvia	0	4	0	4
59	Mexico	0	3	1	4
60	Portugal	0	2	1	3
61	Finland	0	2	0	2
61	Serbia and Montenegro	0	2	0	2
63	Slovenia	0	1	3	4
64	Estonia	0	1	2	3
65	India	0	1	0	1
65	Paraguay	0	1	0	1
65	Hong Kong, China	0	1	0	1
68	Colombia	0	0	2	2
68	Venezuela	0	0	2	2
68	Nigeria	0	0	2	2
71	Trinidad and Tobago	0	0	1	1
71	Syrian Arab Republic	0	0	1	1
71	Mongolia	0	0	1	1
71	Eritrea	0	0	1	1
