Rank	Country	Gold	Silver	Bronze	Total
1	Unified Team	45	38	29	112
2	United States of America	37	34	37	108
3	Germany	33	21	28	82
4	People's Republic of China	16	22	16	54
5	Cuba	14	6	11	31
6	Spain	13	7	2	22
7	Republic of Korea	12	5	12	29
8	Hungary	11	12	7	30
9	France	8	5	16	29
10	Australia	7	9	11	27
11	Canada	7	4	7	18
12	Italy	6	5	8	19
13	Great Britain	5	3	12	20
14	Romania	4	6	8	18
15	Czechoslovakia	4	2	1	7
16	Democratic People's Republic of Korea	4	0	5	9
17	Japan	3	8	11	22
18	Bulgaria	3	7	6	16
19	Poland	3	6	10	19
20	Netherlands	2	6	7	15
21	Kenya	2	4	2	8
22	Norway	2	4	1	7
23	Turkey	2	2	2	6
24	Indonesia	2	2	1	5
25	Brazil	2	1	0	3
26	Greece	2	0	0	2
27	Sweden	1	7	4	12
28	New Zealand	1	4	5	10
29	Finland	1	2	2	5
30	Denmark	1	1	4	6
31	Morocco	1	1	1	3
32	Ireland	1	1	0	2
33	Ethiopia	1	0	2	3
34	Algeria	1	0	1	2
34	Estonia	1	0	1	2
34	Lithuania	1	0	1	2
37	Switzerland	1	0	0	1
38	Jamaica	0	3	1	4
38	Nigeria	0	3	1	4
40	Latvia	0	2	1	3
41	Austria	0	2	0	2
41	Namibia	0	2	0	2
41	South Africa	0	2	0	2
44	Independent Olympic Athletes	0	1	2	3
44	Belgium	0	1	2	3
44	Islamic Republic of Iran	0	1	2	3
44	Croatia	0	1	2	3
48	Israel	0	1	1	2
49	Peru	0	1	0	1
49	Chinese Taipei	0	1	0	1
49	Mexico	0	1	0	1
52	Mongolia	0	0	2	2
52	Slovenia	0	0	2	2
54	Argentina	0	0	1	1
54	Thailand	0	0	1	1
54	Philippines	0	0	1	1
54	Bahamas	0	0	1	1
54	Suriname	0	0	1	1
54	Malaysia	0	0	1	1
54	Pakistan	0	0	1	1
54	Colombia	0	0	1	1
54	Qatar	0	0	1	1
54	Puerto Rico	0	0	1	1
54	Ghana	0	0	1	1
