	Country Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
0	Aruba	1873452514.0	1920111732.0	1941340782.0	2021229050.0	2228491620.0	2330726257.0	2424581006.0	2615083799.0	2745251397.0	2498882682.0	2390502793.0	2549720670.0	2534636872.0	2727849721.0	2790849162.0	2962905028.0	2983636872.0	3092430168.0	3202188607.0	NULL	NULL
1	Africa Eastern and Southern	283953000000.0	258843000000.0	264895000000.0	352692000000.0	438876000000.0	512260000000.0	575976000000.0	661242000000.0	708354000000.0	712558000000.0	847409000000.0	943378000000.0	950521000000.0	964242000000.0	984807000000.0	919930000000.0	873355000000.0	985356000000.0	1012850000000.0	1009910000000.0	920792000000.0
2	Afghanistan	NULL	NULL	4055179566.0	4515558808.0	5226778809.0	6209137625.0	6971285595.0	9747879532.0	10109305183.0	12416161049.0	15856678596.0	17805113119.0	19907317066.0	20146404996.0	20497126770.0	19134211764.0	18116562465.0	18753469630.0	18053228579.0	18799450743.0	20116137326.0
3	Africa Western and Central	140408000000.0	148012000000.0	176933000000.0	204642000000.0	254090000000.0	310554000000.0	393297000000.0	461778000000.0	566426000000.0	506996000000.0	591583000000.0	670963000000.0	727571000000.0	820788000000.0	864967000000.0	760730000000.0	690543000000.0	683742000000.0	741692000000.0	794572000000.0	784588000000.0
4	Angola	9129634978.0	8936063723.0	15285594828.0	17812705294.0	23552052408.0	36970918699.0	52381006892.0	65266452081.0	88538611205.0	70307163678.0	83799496611.0	111790000000.0	128053000000.0	136710000000.0	145712000000.0	116194000000.0	101124000000.0	122124000000.0	101353000000.0	89417190341.0	58375976293.0
5	Albania	3480355258.0	3922100794.0	4348068242.0	5611496257.0	7184685782.0	8052073539.0	8896072919.0	10677324144.0	12881353508.0	12044208086.0	11926922829.0	12890764531.0	12319830437.0	12776220507.0	13228147516.0	11386850130.0	11861199831.0	13019689337.0	15156432310.0	15400242875.0	14887629268.0
6	Andorra	1429049198.0	1546926174.0	1755910032.0	2361726862.0	2894921778.0	3159905484.0	3456442103.0	3952600602.0	4085630584.0	3674409558.0	3449966857.0	3629203786.0	3188808943.0	3193704343.0	3271808157.0	2789870188.0	2896679212.0	3000180750.0	3218316013.0	3155065488.0	NULL
7	Arab World	816039000000.0	798525000000.0	803142000000.0	887874000000.0	1056270000000.0	1297920000000.0	1533190000000.0	1789560000000.0	2254220000000.0	1974360000000.0	2311240000000.0	2501780000000.0	2740550000000.0	2799580000000.0	2831680000000.0	2463580000000.0	2411980000000.0	2466440000000.0	2730780000000.0	2776470000000.0	2447580000000.0
8	United Arab Emirates	104337000000.0	103312000000.0	109816000000.0	124346000000.0	147824000000.0	180617000000.0	222117000000.0	257916000000.0	315475000000.0	253547000000.0	289787000000.0	350666000000.0	374591000000.0	390108000000.0	403137000000.0	358135000000.0	357045000000.0	385606000000.0	422215000000.0	417216000000.0	358869000000.0
9	Argentina	284204000000.0	268697000000.0	97724004252.0	127587000000.0	164658000000.0	198737000000.0	232557000000.0	287531000000.0	361558000000.0	332976000000.0	423627000000.0	530163000000.0	545982000000.0	552025000000.0	526320000000.0	594749000000.0	557531000000.0	643629000000.0	524820000000.0	451932000000.0	389288000000.0
