Country_Name	'2000'	'2001'	'2002'	'2003'	'2004'	'2005'	'2006'	'2007'	'2008'	'2009'	'2010'	'2011'	'2012'	'2013'	'2014'	'2015'	'2016'	'2017'	'2018'	'2019'	'2020'
Aruba	'1873452514'	'1920111732'	'1941340782'	'2021229050'	'2228491620'	'2330726257'	'2424581006'	'2615083799'	'2745251397'	'2498882682'	'2390502793'	'2549720670'	'2534636872'	'2727849721'	'2790849162'	'2962905028'	'2983636872'	'3092430168'	'3202188607'	'NULL'	'NULL'
Africa_Eastern_and_Southern	'2.84E+11'	'2.59E+11'	'2.65E+11'	'3.53E+11'	'4.39E+11'	'5.12E+11'	'5.76E+11'	'6.61E+11'	'7.08E+11'	'7.13E+11'	'8.47E+11'	'9.43E+11'	'9.51E+11'	'9.64E+11'	'9.85E+11'	'9.20E+11'	'8.73E+11'	'9.85E+11'	'1.01E+12'	'1.01E+12'	'9.21E+11'
Afghanistan	'NULL'	'NULL'	'4055179566'	'4515558808'	'5226778809'	'6209137625'	'6971285595'	'9747879532'	'10109305183'	'12416161049'	'15856678596'	'17805113119'	'19907317066'	'20146404996'	'20497126770'	'19134211764'	'18116562465'	'18753469630'	'18053228579'	'18799450743'	'20116137326'
Africa_Western_and_Central	'1.40E+11'	'1.48E+11'	'1.77E+11'	'2.05E+11'	'2.54E+11'	'3.11E+11'	'3.93E+11'	'4.62E+11'	'5.66E+11'	'5.07E+11'	'5.92E+11'	'6.71E+11'	'7.28E+11'	'8.21E+11'	'8.65E+11'	'7.61E+11'	'6.91E+11'	'6.84E+11'	'7.42E+11'	'7.95E+11'	'7.85E+11'
Angola	'9129634978'	'8936063723'	'15285594828'	'17812705294'	'23552052408'	'36970918699'	'52381006892'	'65266452081'	'88538611205'	'70307163678'	'83799496611'	'1.12E+11'	'1.28E+11'	'1.37E+11'	'1.46E+11'	'1.16E+11'	'1.01E+11'	'1.22E+11'	'1.01E+11'	'89417190341'	'58375976293'
Albania	'3480355258'	'3922100794'	'4348068242'	'5611496257'	'7184685782'	'8052073539'	'8896072919'	'10677324144'	'12881353508'	'12044208086'	'11926922829'	'12890764531'	'12319830437'	'12776220507'	'13228147516'	'11386850130'	'11861199831'	'13019689337'	'15156432310'	'15400242875'	'14887629268'
Andorra	'1429049198'	'1546926174'	'1755910032'	'2361726862'	'2894921778'	'3159905484'	'3456442103'	'3952600602'	'4085630584'	'3674409558'	'3449966857'	'3629203786'	'3188808943'	'3193704343'	'3271808157'	'2789870188'	'2896679212'	'3000180750'	'3218316013'	'3155065488'	'NULL'
Arab_World	'8.16E+11'	'7.99E+11'	'8.03E+11'	'8.88E+11'	'1.06E+12'	'1.30E+12'	'1.53E+12'	'1.79E+12'	'2.25E+12'	'1.97E+12'	'2.31E+12'	'2.50E+12'	'2.74E+12'	'2.80E+12'	'2.83E+12'	'2.46E+12'	'2.41E+12'	'2.47E+12'	'2.73E+12'	'2.78E+12'	'2.45E+12'
United_Arab_Emirates	'1.04E+11'	'1.03E+11'	'1.10E+11'	'1.24E+11'	'1.48E+11'	'1.81E+11'	'2.22E+11'	'2.58E+11'	'3.15E+11'	'2.54E+11'	'2.90E+11'	'3.51E+11'	'3.75E+11'	'3.90E+11'	'4.03E+11'	'3.58E+11'	'3.57E+11'	'3.86E+11'	'4.22E+11'	'4.17E+11'	'3.59E+11'
Argentina	'2.84E+11'	'2.69E+11'	'97724004252'	'1.28E+11'	'1.65E+11'	'1.99E+11'	'2.33E+11'	'2.88E+11'	'3.62E+11'	'3.33E+11'	'4.24E+11'	'5.30E+11'	'5.46E+11'	'5.52E+11'	'5.26E+11'	'5.95E+11'	'5.58E+11'	'6.44E+11'	'5.25E+11'	'4.52E+11'	'3.89E+11'
Armenia	'1911563669'	'2118467913'	'2376335048'	'2807061009'	'3576615240'	'4900469950'	'6384451606'	'9206301700'	'11662040714'	'8647936748'	'9260284938'	'10142111334'	'10619320049'	'11121465767'	'11609512940'	'10553337673'	'10546135160'	'11527458566'	'12457941907'	'13619291361'	'12641209802'
American_Samoa	'NULL'	'NULL'	'512000000'	'524000000'	'509000000'	'500000000'	'493000000'	'518000000'	'560000000'	'675000000'	'573000000'	'570000000'	'640000000'	'638000000'	'643000000'	'673000000'	'671000000'	'612000000'	'639000000'	'648000000'	'709000000'
Antigua_and_Barbuda	'826370370.4'	'800481481.5'	'814381481.5'	'856396296.3'	'919729629.6'	'1022962963'	'1157662963'	'1312759259'	'1370070370'	'1228329630'	'1148700000'	'1137637037'	'1199948148'	'1181448148'	'1249733333'	'1336692593'	'1436585185'	'1467977778'	'1605944444'	'1687533333'	'1370281481'
Australia	'4.16E+11'	'3.79E+11'	'3.95E+11'	'4.67E+11'	'6.14E+11'	'6.95E+11'	'7.48E+11'	'8.54E+11'	'1.06E+12'	'9.28E+11'	'1.15E+12'	'1.40E+12'	'1.55E+12'	'1.58E+12'	'1.47E+12'	'1.35E+12'	'1.21E+12'	'1.33E+12'	'1.43E+12'	'1.39E+12'	'1.33E+12'
Austria	'1.97E+11'	'1.98E+11'	'2.14E+11'	'2.62E+11'	'3.01E+11'	'3.16E+11'	'3.36E+11'	'3.89E+11'	'4.32E+11'	'4.02E+11'	'3.92E+11'	'4.32E+11'	'4.09E+11'	'4.30E+11'	'4.43E+11'	'3.82E+11'	'3.96E+11'	'4.17E+11'	'4.55E+11'	'4.45E+11'	'4.33E+11'
