Rank	Country	Gold	Silver	Bronze	Total
1	United States of America	47	27	30	104
2	People's Republic of China	38	31	22	91
3	Great Britain	29	18	18	65
4	Russian Federation	20	20	27	67
5	Republic of Korea	13	9	8	30
6	Germany	11	20	13	44
7	France	11	11	13	35
8	Australia	8	15	12	35
9	Italy	8	9	11	28
10	Hungary	8	4	6	18
11	Japan	7	14	17	38
12	Netherlands	6	6	8	20
13	Islamic Republic of Iran	6	6	1	13
14	New Zealand	6	2	5	13
15	Ukraine	5	4	10	19
16	Cuba	5	3	7	15
17	Spain	4	10	6	20
18	Jamaica	4	5	3	12
19	Czech Republic	4	3	4	11
20	South Africa	4	1	1	6
21	Democratic People's Republic of Korea	4	0	3	7
22	Brazil	3	5	9	17
23	Kazakhstan	3	2	6	11
24	Ethiopia	3	2	2	7
25	Poland	3	1	7	11
26	Croatia	3	1	2	6
27	Canada	2	6	10	18
28	Belarus	2	5	3	10
29	Kenya	2	4	6	12
30	Denmark	2	4	3	9
31	Romania	2	4	1	7
32	Azerbaijan	2	2	6	10
33	Switzerland	2	2	0	4
34	Norway	2	1	1	4
35	Lithuania	2	0	3	5
36	Tunisia	2	0	1	3
37	Sweden	1	4	3	8
38	Colombia	1	3	5	9
39	Mexico	1	3	4	8
40	Georgia	1	2	3	6
41	Ireland	1	1	4	6
42	Argentina	1	1	2	4
42	Serbia	1	1	2	4
42	Slovenia	1	1	2	4
42	Trinidad and Tobago	1	1	2	4
46	Turkey	1	1	1	3
47	Dominican Republic	1	1	0	2
48	Latvia	1	0	1	2
48	Chinese Taipei	1	0	1	2
50	Grenada	1	0	0	1
50	Bahrain	1	0	0	1
50	Uganda	1	0	0	1
50	Bahamas	1	0	0	1
50	Algeria	1	0	0	1
50	Venezuela	1	0	0	1
56	Egypt	0	3	1	4
57	India	0	2	4	6
58	Mongolia	0	2	3	5
59	Thailand	0	2	2	4
60	Bulgaria	0	2	1	3
60	Finland	0	2	1	3
60	Indonesia	0	2	1	3
63	Slovakia	0	1	3	4
64	Belgium	0	1	2	3
65	Armenia	0	1	1	2
65	Malaysia	0	1	1	2
65	Qatar	0	1	1	2
65	Puerto Rico	0	1	1	2
65	Estonia	0	1	1	2
70	Portugal	0	1	0	1
70	Cyprus	0	1	0	1
70	Gabon	0	1	0	1
70	Montenegro	0	1	0	1
70	Botswana	0	1	0	1
70	Guatemala	0	1	0	1
76	Greece	0	0	2	2
76	Uzbekistan	0	0	2	2
76	Singapore	0	0	2	2
79	Afghanistan	0	0	1	1
79	Kuwait	0	0	1	1
79	Saudi Arabia	0	0	1	1
79	Hong Kong, China	0	0	1	1
79	Cameroon	0	0	1	1
79	Morocco	0	0	1	1
79	Tajikistan	0	0	1	1
