Rank	Country	Gold	Silver	Bronze	Total
1	United States of America	37	24	32	93
2	Russian Federation	32	28	29	89
3	People's Republic of China	28	16	14	58
4	Australia	16	25	17	58
5	Germany	13	17	26	56
6	France	13	14	11	38
7	Italy	13	8	13	34
8	Netherlands	12	9	4	25
9	Cuba	11	11	7	29
10	Great Britain	11	10	7	28
11	Romania	11	6	9	26
12	Republic of Korea	8	10	10	28
13	Hungary	8	6	3	17
14	Poland	6	5	3	14
15	Japan	5	8	5	18
16	Bulgaria	5	6	2	13
17	Greece	4	6	3	13
18	Sweden	4	5	3	12
19	Norway	4	3	3	10
20	Ethiopia	4	1	3	8
21	Ukraine	3	10	10	23
22	Kazakhstan	3	4	0	7
23	Belarus	3	3	11	17
24	Canada	3	3	8	14
25	Spain	3	3	5	11
26	Turkey	3	0	2	5
27	Islamic Republic of Iran	3	0	1	4
28	Czech Republic	2	3	3	8
29	Kenya	2	3	2	7
30	Denmark	2	3	1	6
31	Finland	2	1	1	4
32	Austria	2	1	0	3
33	Lithuania	2	0	3	5
34	Azerbaijan	2	0	1	3
34	Bahamas	2	0	1	3
36	Slovenia	2	0	0	2
37	Switzerland	1	6	2	9
38	Indonesia	1	3	2	6
39	Slovakia	1	3	1	5
40	Mexico	1	2	3	6
41	Nigeria	1	2	0	3
42	Algeria	1	1	3	5
43	Uzbekistan	1	1	2	4
44	Serbia and Montenegro	1	1	1	3
44	Latvia	1	1	1	3
46	New Zealand	1	0	3	4
47	Estonia	1	0	2	3
47	Thailand	1	0	2	3
49	Croatia	1	0	1	2
50	Cameroon	1	0	0	1
50	Mozambique	1	0	0	1
50	Colombia	1	0	0	1
53	Brazil	0	6	6	12
54	Jamaica	0	6	3	9
55	South Africa	0	2	3	5
55	Belgium	0	2	3	5
57	Argentina	0	2	2	4
58	Chinese Taipei	0	1	4	5
58	Morocco	0	1	4	5
60	Democratic People's Republic of Korea	0	1	3	4
61	Saudi Arabia	0	1	1	2
61	Trinidad and Tobago	0	1	1	2
61	Republic of Moldova	0	1	1	2
64	Sri Lanka	0	1	0	1
64	Ireland	0	1	0	1
64	Uruguay	0	1	0	1
64	Vietnam	0	1	0	1
68	Georgia	0	0	6	6
69	Costa Rica	0	0	2	2
69	Portugal	0	0	2	2
71	Armenia	0	0	1	1
71	Israel	0	0	1	1
71	Barbados	0	0	1	1
71	Chile	0	0	1	1
71	Qatar	0	0	1	1
71	North Macedonia	0	0	1	1
71	Kuwait	0	0	1	1
71	Kyrgyzstan	0	0	1	1
71	India	0	0	1	1
71	Iceland	0	0	1	1
