	Country	Population
0	 China	1,412,600,000
1	 India	1,372,989,959
2	 United States	332,834,417
3	 Indonesia	272,248,500
4	 Pakistan	225,199,937
5	 Brazil	214,824,235
6	 Nigeria	211,400,708
7	 Bangladesh	168,220,000
8	 Russia	147,190,000
9	 Mexico	128,271,248
10	 Japan	125,502,000
11	 Ethiopia	117,876,000
12	 Philippines	112,087,125
13	 Egypt	103,472,397
14	 Vietnam	98,505,400
15	 DR Congo	92,378,000
16	 Iran	85,565,459
17	 Turkey	84,680,273
18	 Germany	83,237,124
19	 France	67,853,000
20	 United Kingdom	67,081,234
21	 Thailand	66,805,967
22	 South Africa	60,142,978
23	 Tanzania	59,441,988
24	 Italy	58,906,742
25	 Myanmar	55,294,979
26	 South Korea	51,745,000
27	 Colombia	51,049,498
28	 Kenya	47,564,296
29	 Argentina	47,327,407
30	 Spain	47,326,687
31	 Algeria	45,400,000
32	 Sudan	44,551,205
33	 Uganda	42,885,900
34	 Iraq	41,190,700
35	 Ukraine	41,130,432
36	 Canada	38,738,888
37	 Poland	38,014,000
38	 Morocco	36,646,464
39	 Uzbekistan	35,626,342
40	 Saudi Arabia	35,013,414
41	 Peru	33,035,304
42	 Afghanistan	32,890,171
43	 Malaysia	32,724,600
44	 Angola	32,097,671
45	 Mozambique	30,832,244
46	 Ghana	30,832,019
47	 Yemen	30,491,000
48	 Nepal	29,192,480
49	 Venezuela	28,705,000
50	 Ivory Coast	27,087,732
51	 Madagascar	26,923,353
52	 Australia	26,023,557
53	 North Korea	25,660,000
54	 Cameroon	24,348,251
55	 Niger	24,112,753
56	 Taiwan	23,375,314
57	 Sri Lanka	22,156,000
58	 Burkina Faso	21,510,181
59	 Mali	20,856,000
60	 Chile	19,678,363
61	 Kazakhstan	19,254,512
62	 Romania	19,186,201
63	 Malawi	18,898,441
64	 Zambia	18,400,556
65	 Syria	18,276,000
66	 Ecuador	18,010,368
67	 Netherlands	17,737,681
68	 Senegal	17,223,497
69	 Guatemala	17,109,746
70	 Chad	16,818,391
71	 Somalia	16,360,000
72	 Zimbabwe	15,790,716
73	 Cambodia	15,552,211
74	 South Sudan	13,249,924
75	 Rwanda	12,955,768
76	 Guinea	12,907,395
77	 Burundi	12,574,571
78	 Benin	12,506,347
79	 Bolivia	11,797,257
80	 Tunisia	11,746,695
81	 Haiti	11,743,017
82	 Belgium	11,657,619
83	 Jordan	11,242,352
84	 Cuba	11,113,215
85	 Greece	10,678,632
86	 Dominican Republic	10,535,535
87	 Czech Republic	10,516,708
88	 Sweden	10,475,203
89	 Portugal	10,347,892
90	 Azerbaijan	10,164,464
91	 Hungary	9,689,000
92	 Honduras	9,546,178
93	 Israel	9,538,940
94	 Tajikistan	9,506,000
95	 Belarus	9,349,645
96	 United Arab Emirates	9,282,410
97	 Papua New Guinea	9,122,994
98	 Austria	9,027,999
99	 Switzerland	8,736,500
100	 Sierra Leone	8,297,882
101	 Togo	7,886,000
102	 Hong Kong (China)	7,403,100
103	 Paraguay	7,353,038
104	 Laos	7,337,783
105	 Libya	6,959,000
106	 Serbia	6,871,547
107	 El Salvador	6,825,935
108	 Lebanon	6,769,000
109	 Kyrgyzstan	6,700,000
110	 Nicaragua	6,595,674
111	 Bulgaria	6,520,314
112	 Turkmenistan	6,118,000
113	 Denmark	5,883,562
114	 Congo	5,657,000
115	 Central African Republic	5,633,412
116	 Finland	5,550,066
117	 Singapore	5,453,600
118	 Norway	5,435,536
119	 Slovakia	5,434,712
120	 Palestine	5,227,193
121	 Costa Rica	5,163,038
122	 New Zealand	5,132,032
123	 Ireland	5,123,536
124	 Kuwait	4,670,713
125	 Liberia	4,661,010
126	 Oman	4,527,446
127	 Panama	4,278,500
128	 Mauritania	4,271,197
129	 Croatia	3,888,529
130	 Georgia	3,728,573
131	 Eritrea	3,601,000
132	 Uruguay	3,554,915
133	 Mongolia	3,444,825
134	 Bosnia and Herzegovina	3,320,954
135	 Puerto Rico (United States)	3,285,874
136	 Armenia	2,963,900
137	 Albania	2,829,741
138	 Qatar	2,799,202
139	 Lithuania	2,794,961
140	 Jamaica	2,734,093
141	 Moldova	2,597,100
142	 Namibia	2,550,226
143	 Gambia	2,487,000
144	 Botswana	2,410,338
145	 Gabon	2,233,272
146	 Lesotho	2,159,000
147	 Slovenia	2,108,977
148	 Latvia	1,874,900
149	 North Macedonia	1,832,696
150	 Kosovo	1,798,188
151	 Guinea-Bissau	1,646,077
152	 Equatorial Guinea	1,505,588
153	 Bahrain	1,501,635
154	 Trinidad and Tobago	1,367,558
155	 Estonia	1,330,068
156	 East Timor	1,317,780
157	 Mauritius	1,266,334
158	 Eswatini	1,172,000
159	 Djibouti	976,107
160	 Fiji	898,402
161	 Cyprus	888,005
162	 Comoros	758,316
163	 Bhutan	763,200
164	 Guyana	743,699
165	 Solomon Islands	728,041
166	 Macau (China)	683,200
167	 Luxembourg	645,397
168	 Montenegro	621,306
169	 Western Sahara	612,000
170	 Suriname	598,000
171	 Cape Verde	563,198
172	 Malta	514,564
173	 Belize	430,191
174	 Brunei	429,999
175	 Bahamas	393,450
176	 Maldives	383,135
177	 Northern Cyprus	382,230
178	 Iceland	377,280
179	 Transnistria	306,000
180	 Vanuatu	301,295
181	 Barbados	288,000
182	 French Polynesia (France)	279,890
183	 New Caledonia (France)	273,674
184	 Abkhazia	245,424
185	 São Tomé and Príncipe	214,610
186	 Samoa	199,853
187	 Saint Lucia	178,696
188	 Guam (United States)	153,836
189	 Curaçao (Netherlands)	153,671
190	 Republic of Artsakh	148,900
191	 Kiribati	120,740
192	 Grenada	113,000
193	 Aruba (Netherlands)	111,050
194	 Saint Vincent and the Grenadines	110,696
195	 Jersey (British Crown Dependency)	107,800
196	 Micronesia	105,754
197	 Tonga	99,532
198	 Antigua and Barbuda	99,337
199	 Seychelles	99,202
200	 U.S. Virgin Islands (United States)	87,146
201	 Isle of Man (British Crown Dependency)	84,069
202	 Andorra	79,535
203	 Dominica	72,000
204	 Cayman Islands (United Kingdom)	65,786
205	 Bermuda (United Kingdom)	64,055
206	 Guernsey (British Crown Dependency)	63,124
207	 Greenland (Denmark)	56,562
208	 Marshall Islands	54,516
209	 Saint Kitts and Nevis	54,000
210	 Faroe Islands (Denmark)	53,941
211	 South Ossetia	53,532
212	 American Samoa (United States)	49,710
213	 Northern Mariana Islands (United States)	47,329
214	 Turks and Caicos Islands (United Kingdom)	44,542
215	 Sint Maarten (Netherlands)	42,577
216	 Liechtenstein	39,315
217	 Monaco	39,150
218	 Gibraltar (United Kingdom)	34,000
219	 San Marino	33,705
220	 Saint Martin (France)	32,489
221	 Åland (Finland)	30,344
222	 British Virgin Islands (United Kingdom)	30,000
223	 Palau	17,957
224	 Cook Islands (New Zealand)	15,342
225	 Anguilla (United Kingdom)	15,000
226	 Nauru	11,832
227	 Wallis and Futuna (France)	11,369
228	 Tuvalu	10,679
229	 Saint Barthélemy (France)	10,289
230	 Saint Helena, Ascension and Tristan da Cunha (United Kingdom)	6,000
231	 Saint Pierre and Miquelon (France)	5,974
232	 Montserrat (United Kingdom)	5,000
233	 Falkland Islands (United Kingdom)	4,000
234	 Christmas Island (Australia)	1,966
235	 Norfolk Island (Australia)	1,734
236	 Niue (New Zealand)	1,549
237	 Tokelau (New Zealand)	1,501
238	 Vatican City	825
239	 Cocos (Keeling) Islands (Australia)	573
240	 Pitcairn Islands (United Kingdom)	40
